Molecule ChEMBL ID;Molecular Weight;#RO5 Violations;AlogP;Smiles;pChEMBL Value;Ligand Efficiency BEI;Assay Type;Activity_Class;std_Molecular Weight;std_AlogP;std_Ligand Efficiency BEI
CHEMBL366904;444.36;0.0;4.85;O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2o1;6.96;15.662975965433432;2;1;0.098193350771858;0.5418205092418338;0.17019720322901674
CHEMBL180010;481.43;1.0;5.16;O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(-c2ccccn2)cc1;7.03;14.6;1;1;0.10824173590122384;0.5527463278676055;0.15864668199884335
CHEMBL1833977;364.49;0.0;4.19;COc1ccc(CCCN2CCN(Cc3cc4ccccc4o3)CC2)cc1;5.0;13.717797470438146;1;0;0.07654337720071018;0.5185590889418038;0.14906048308336564
CHEMBL1834234;390.9;0.0;3.43;CCN/C(=N\S(=O)(=O)c1cccc(Cl)c1)N1N=CCC1c1ccccc1;6.0;15.349194167306218;1;1;0.08370220782565088;0.49177321102055715;0.1667875839725432
CHEMBL3298828;549.57;2.0;6.67;COc1nc2sc(C(=O)NCCCCCCN3CCC(c4ccc(Cl)cc4)CC3)c(N)c2c(C)c1Cl;9.21;16.76;1;1;0.126712115256902;0.605965637947977;0.18211769796579555
CHEMBL3299093;335.45;0.0;2.34;COc1ccccc1N1CCN(CCNC(=O)OC(C)(C)C)CC1;7.03;20.96;1;1;0.06867164522993101;0.4533566229492955;0.22775578456820253
CHEMBL3299096;377.53;0.0;3.51;COc1ccccc1N1CCN(CCCCCNC(=O)OC(C)(C)C)CC1;8.84;23.42;1;1;0.08007806676334656;0.49459277711753047;0.25448666386389807
CHEMBL208228;520.64;1.0;4.93;CCN(Cc1ccccc1)C(=O)NCCCCN1CCN(c2cc(C(F)(F)F)nc(C(C)(C)C)n2)CC1;6.67;12.82;1;1;0.11887020045267878;0.5446400753388071;0.13930482624829946
CHEMBL205238;471.95;0.0;4.21;CC(C)(C)c1nc(N2CCN(CCCCn3cc(Cl)ccc3=O)CC2)cc(C(F)(F)F)n1;6.89;14.6;1;1;0.10567203827439924;0.519263980466047;0.15864668199884335
CHEMBL200028;514.6;1.0;4.62;CC(C)(C)c1nc(N2CCN(CCCCn3ccc(-c4ccccc4)nc3=O)CC2)cc(C(F)(F)F)n1;6.78;13.16;1;1;0.1172329669436049;0.5337142567130354;0.14299933802087525
CHEMBL3298759;504.06;1.0;3.8;COc1ccccc1N1CCN(CCCNC(=O)c2sc3nc(OC)c(Cl)c(C)c3c2N)CC1;7.71;15.3;1;1;0.11437594025724081;0.5048137042190588;0.16625302976591122
CHEMBL3298826;518.08;1.0;4.19;COc1ccccc1N1CCN(CCCCNC(=O)c2sc3nc(OC)c(Cl)c(C)c3c2N)CC1;8.2;15.83;1;1;0.11817627366737594;0.5185590889418038;0.17201212164669114
CHEMBL49;385.51;0.0;2.09;O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1;6.0;15.56;1;1;0.08224116666440778;0.44454547889625384;0.1690782446508221
